person,personLabels,birthDates,birthPlaceLabels,deathDates,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q60267743,Bernardus Polak,1886-02-06T00:00:00Z,Bernardus Polak,1942-10-22T00:00:00Z,Auschwitz,photographer
http://www.wikidata.org/entity/Q60267786,Johannes Cornelis Poleij,1825-03-18T00:00:00Z,Johannes Cornelis Poleij,1861-09-28T00:00:00Z,Middelburg,photographer
http://www.wikidata.org/entity/Q60267839,Herman Pot,1893-02-27T00:00:00Z,Herman Pot,1961-11-04T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60267913,George Marie Pouleijn,1884-01-08T00:00:00Z,George Marie Pouleijn,1971-08-27T00:00:00Z,Middelburg,photographer
http://www.wikidata.org/entity/Q60268305,Adrianus Johannes Martens,1839-12-17T00:00:00Z,Adrianus Johannes Martens,1908-09-08T00:00:00Z,Utrecht,photographer
http://www.wikidata.org/entity/Q60268337,Aron van der Noot,1820-08-24T00:00:00Z,Aron van der Noot,1887-03-11T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60268383,Amerentia Steensma,1878-09-17T00:00:00Z,Amerentia Steensma,1949-02-02T00:00:00Z,Bennebroek,photographer
http://www.wikidata.org/entity/Q60268423,Cornelis Stefarius,1876-01-26T00:00:00Z,Cornelis Stefarius,1958-01-26T00:00:00Z,Deventer,photographer
http://www.wikidata.org/entity/Q60268444,Antonie Steinmetz,1843-12-12T00:00:00Z,Antonie Steinmetz,1917-11-04T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60268466,Dirk Christiaan Steinmetz,1888-09-20T00:00:00Z,Dirk Christiaan Steinmetz,1963-02-13T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60268534,Johannes Stelder,1895-01-01T00:00:00Z,Johannes Stelder,1943-05-30T00:00:00Z,Boxmeer,photographer
